Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Motor Function,Critical,Chronic,Regular,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Normal,Critical,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Normal,Standard,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Hyperthermia,Maintenance,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Chronic,Baseline,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Moderate,Progressive,Standard,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Unstable,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Progressive,Regular,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Hypotension,Baseline,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Normal,Stable,Maintenance,Routine,Follow up,Routine,Standard care - Follow routine protocol
Motor Function,Normal,Chronic,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Progressive,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Acute,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,High,Acute,Critical,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Low,Unstable,Observe,Routine,Document,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Crisis,Baseline,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Hyperthermia,Baseline,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Stable,Regular,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Acute,Baseline,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Chronic,Watch,Assess,Reassess,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Progressive,Emergency,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Acute,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Stable,Standard,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Stable,Monitor,Observe,Monitor closely,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Unstable,Monitor,Check,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Unstable,Critical,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Chronic,Normal,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Chronic,Standard,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Unstable,Maintenance,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Stable,Follow-up,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Normal,Baseline,Routine,Follow up,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Low,Progressive,Follow-up,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Weak,Baseline,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Pre-hypertension,Maintenance,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Normal,Stable,Maintenance,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Blood Glucose,Low,Acute,Follow-up,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,High,Stable,Immediate,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Bradycardia,Emergency,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Pre-hypertension,Critical,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Progressive,Regular,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Chronic,Watch,Check,Document,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Maintenance,Routine,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Progressive,Watch,Observe,Monitor closely,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hyperthermia,Normal,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Acute,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Unstable,Normal,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Unstable,Maintenance,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Stable,Regular,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Normal,Routine,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Acute,Resuscitation,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Acute,Normal,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Low,Chronic,Monitor,Observe,Document,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Progressive,Urgent,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Irregular,Maintenance,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Normal,Normal,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Pre-hypertension,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Low,Irregular,Observe,Routine,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Unstable,Regular,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Progressive,Monitor,Check,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Progressive,Standard,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Normal,Baseline,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Acute,Urgent,Stabilize,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Chronic,Maintenance,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Stable,Monitor,Evaluate,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Unstable,Monitor,Observe,Monitor closely,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Progressive,Immediate,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Chronic,Watch,Watch,Document,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Acute,Normal,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Low,Unstable,Follow-up,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Unstable,Regular,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Stable,Critical,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Progressive,Observe,Maintenance,Monitor closely,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Unstable,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Maintenance,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Unstable,Routine,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Unstable,Baseline,Routine,Prevention,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Progressive,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Chronic,Standard,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Blood Glucose,Moderate,Stable,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Hyperthermia,Routine,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Stable,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Progressive,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Low,Stable,Observe,Routine,Monitor closely,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Stable,Standard,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Tachycardia,Routine,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Unstable,Baseline,Normal,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,Moderate,Hypotension,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Stable,Standard,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,Normal,Chronic,Standard,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Moderate,Stable,Normal,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Weak,Emergency,Regular,Follow up,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Chronic,Baseline,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Unstable,Normal,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Normal,Regular,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Stable,Urgent,Stabilize,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Unstable,Routine,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Unstable,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Progressive,Observe,Regular,Check again,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Unstable,Immediate,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Unstable,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Subnormal,Maintenance,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Pain Level,High,Acute,Emergency,Normal,Standard protocol,Immediate,Red flag - Immediate intervention required
Pain Level,Critical,Chronic,Standard,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Unstable,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Unstable,Standard,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Progressive,Standard,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Chronic,Resuscitation,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Stable,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Stable,Maintenance,Routine,Follow up,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Normal,Unstable,Maintenance,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Stable,Baseline,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,High,Acute,Urgent,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Stable,Standard,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,High,Acute,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Chronic,Regular,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Progressive,Normal,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,High,Hypothermia,Emergency,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Tachycardia,Regular,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Unstable,Resuscitation,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Progressive,Regular,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Low,Stable,Watch,Assess,Document,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Unstable,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Progressive,Emergency,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Unstable,Follow-up,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Acute,Regular,Regular,Routine care,Routine,Standard care - Follow routine protocol
Heart Rate,Low,Bradycardia,Follow-up,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Unstable,Normal,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
